STATE,YEAR,POVERTY RATE,ACRES,GDP Per Capita,UNEMPLOYMENT RATE,WILDFIRES,
CALIFORNIA,2010,13.7,109529,55137,12.5,6554,
CALIFORNIA,2011,14.4,168545,55520,11.9,7989,
CALIFORNIA,2012,15.3,869599,56406,10.5,7950,
CALIFORNIA,2013,15.9,601635,57914,9,9907,
CALIFORNIA,2014,16.4,625540,59686,7.6,7865,
CALIFORNIA,2015,16.3,893362,62132,6.3,8745,
CALIFORNIA,2016,15.8,669534,63635,5.5,6986,
CALIFORNIA,2017,15.1,1548429,65160,4.8,9560,
CALIFORNIA,2018,14.3,1975086,68803,4.2,8527,
CALIFORNIA,2019,13.4,259823,70662,4.1,7860,
CALIFORNIA,2020,12.6,4397809,71314,10.1,9659,
CALIFORNIA,2021,12.3,2568948,72569,7.3,8835,
CALIFORNIA,2022,12.2,362455,73825,4.3,7490,
CALIFORNIA,2023,13.2,324917,75080,4.8,7127,
TEXAS,2010,17.9,328847,51571,8.2,13213,
TEXAS,2011,18.5,3943770,52401,8,30896,
TEXAS,2012,17.9,159265,54121,6.7,13225,
TEXAS,2013,17.5,69625,55595,6.3,12311,
TEXAS,2014,17.2,134947,56108,5.2,9671,
TEXAS,2015,15.9,207055,57928,4.5,9439,
TEXAS,2016,15.6,299738,57137,4.6,9209,
TEXAS,2017,14.7,744061,57077,4.3,10016,
TEXAS,2018,14.9,527707,59674,3.9,10423,
TEXAS,2019,13.6,195461,60410,3.5,6755,
TEXAS,2020,14.2,256750,61147,7.7,7233,
TEXAS,2021,14.2,158612,61883,5.6,6039,
TEXAS,2022,14,650712,62619,3.9,12411,
TEXAS,2023,14,205144,63355,4.1,7530,
ARIZONA,2010,17.4,74445,40118,10.3,1517,
ARIZONA,2011,19,1036935,40710,9.4,1969,
ARIZONA,2012,18.7,216090,40996,8.3,1684,
ARIZONA,2013,18.6,105281,40832,7.8,1756,
ARIZONA,2014,18.2,205199,40768,6.8,1543,
ARIZONA,2015,17.4,160152,41083,6.1,1662,
ARIZONA,2016,16.4,308245,41726,5.5,2228,
ARIZONA,2017,14.9,429564,42353,5,2321,
ARIZONA,2018,14,86434,43464,4.8,1364,
ARIZONA,2019,13.5,178815,43839,4.8,1463,
ARIZONA,2020,14.1,353797,44215,7.8,2073,
ARIZONA,2021,12.8,337276,44590,5.1,1267,
ARIZONA,2022,12.5,145422,44965,3.8,1263,
ARIZONA,2023,12.5,176939,45341,3.9,1659,
COLORADO,2010,13.4,70000,52454,9.2,2167,
COLORADO,2011,13.5,161167,52514,8.7,824,
COLORADO,2012,13.7,65847,52739,8,1498,
COLORADO,2013,13,195145,53688,6.7,1176,
COLORADO,2014,12,24949,55221,5,1608,
COLORADO,2015,11.5,22602,56553,3.7,1655,
COLORADO,2016,11,129495,56940,3.1,2579,
COLORADO,2017,10.3,111667,57654,2.6,2109,
COLORADO,2018,9.6,475803,59885,3,1585,
COLORADO,2019,9.3,40392,60554,2.7,771,
COLORADO,2020,9.8,625357,61223,6.8,1078,
COLORADO,2021,9.7,48195,61892,5.5,1019,
COLORADO,2022,11.1,45732,62590,3.1,835,
COLORADO,2023,9.5,60748,63229,3.2,737,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
